City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Bikaner,IN,28.0167,73.3,86.43,68,100,3.89,overcast clouds
156,Torbay,CA,47.6666,-52.7314,86.88,58,40,12.66,scattered clouds
157,Cacu,BR,-18.5567,-51.1308,94.59,16,1,3.31,clear sky
158,Saskylakh,RU,71.9167,114.0833,48.24,88,18,2.28,few clouds
159,Rocha,UY,-34.4833,-54.3333,56.48,59,2,10.2,clear sky
160,Omsukchan,RU,62.5333,155.8,53.82,98,84,5.28,broken clouds
161,Ust-Tsilma,RU,65.441,52.1498,64.2,93,98,4.45,light rain
162,Zhanaozen,KZ,43.3,52.8,89.04,18,13,9.71,few clouds
163,Kaitangata,NZ,-46.2817,169.8464,46.9,91,100,5.08,overcast clouds
164,Vestmanna,FO,62.1564,-7.1664,52.72,76,40,8.05,scattered clouds
165,Lata,PT,40.1629,-8.3327,83.48,53,0,6.71,clear sky
166,Erdenet,MN,49.0333,104.0833,53.87,96,70,1.72,broken clouds
167,Fernley,US,39.608,-119.2518,72.46,48,99,7.61,overcast clouds
168,Corrente,BR,-3.7367,-43.3394,84.11,58,45,2.73,scattered clouds
169,Kahului,US,20.8947,-156.47,79.84,73,0,5.75,clear sky
170,Dubbo,AU,-32.25,148.6167,51.93,93,2,11.5,clear sky
171,Ostrovnoy,RU,68.0531,39.5131,66.4,73,97,14.32,overcast clouds
172,Bethel,US,41.3712,-73.414,92.35,62,0,4.61,clear sky
173,Kichera,RU,55.9375,110.0997,51.87,98,98,2.86,light rain
174,Camacha,PT,33.0833,-16.3333,69.22,83,75,11.5,broken clouds
175,Carutapera,BR,-1.195,-46.02,84.2,66,42,9.86,scattered clouds
176,Georgetown,MY,5.4112,100.3354,82.89,83,40,3.44,scattered clouds
177,Durban,ZA,-29.8579,31.0292,66.02,91,0,1.99,clear sky
178,Majalengka,ID,-6.8361,108.2278,71.04,83,91,3.98,overcast clouds
179,Talcahuano,CL,-36.7167,-73.1167,53.28,100,100,13.8,drizzle
180,Yei,SS,4.095,30.6779,67.87,91,43,1.68,light rain
181,Vanimo,PG,-2.6741,141.3028,75.72,89,97,1.97,overcast clouds
182,Kota Belud,MY,6.351,116.4305,76.12,93,98,9.62,overcast clouds
183,Kosh-Agach,RU,50.0,88.6667,44.4,90,58,2.44,broken clouds
184,Longyearbyen,SJ,78.2186,15.6401,48.04,93,75,1.14,broken clouds
185,Olinda,BR,-8.0089,-34.8553,80.33,69,40,11.5,scattered clouds
186,Richards Bay,ZA,-28.783,32.0377,64.89,89,1,1.57,clear sky
187,Tulare,US,36.2666,-118.8009,74.95,87,100,1.01,overcast clouds
188,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,76,35,8.37,light rain
189,Posadas,AR,-27.3671,-55.8961,64.38,63,75,9.22,broken clouds
190,Mahibadhoo,MV,3.7833,72.9667,81.7,77,100,16.6,overcast clouds
191,Victoria,HK,22.2855,114.1577,81.32,92,86,8.99,overcast clouds
192,Benghazi,LY,32.1167,20.0667,81.77,69,0,12.73,clear sky
193,Merauke,ID,-8.4667,140.3333,76.66,92,79,10.49,broken clouds
194,Namibe,AO,-15.1961,12.1522,61.43,82,75,11.5,broken clouds
195,Antofagasta,CL,-23.65,-70.4,65.21,58,40,6.64,scattered clouds
196,Lebyazhye,RU,55.2689,66.4947,64.35,66,26,3.49,scattered clouds
