City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Nadapuram,IN,75.36,moderate rain,11.7,75.6667,Fabina Garden
468,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
471,Jaisalmer,IN,78.87,very heavy rain,26.9147,70.9181,Hotel Fifu
474,Wajima,JP,77.68,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
477,Buchanan,LR,76.98,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
483,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
484,Canico,PT,80.71,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
486,Gallup,US,75.96,few clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
498,Nurota,UZ,79.83,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
500,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
504,Xuddur,SO,80.01,overcast clouds,4.1213,43.8894,Banjanay Hotel
505,Komsomolskiy,UZ,80.87,broken clouds,40.4272,71.7189,Ikathouse
510,Sioux Lookout,CA,77.07,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
513,Lure,FR,80.06,clear sky,47.75,6.5,Gîte Les Tourbières Belmont
515,Shingu,JP,76.69,few clouds,33.7333,135.9833,Shingu UI Hotel
516,Wajir,KE,80.56,broken clouds,1.7471,40.0573,Mahatallah Hotel
517,Jadu,LY,83.12,few clouds,31.953,12.0261,امياس للصرافة
519,Chippewa Falls,US,84.38,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
523,Wuhu,CN,82.29,overcast clouds,31.3366,118.3755,JI Hotel Wuhu Pedestrian Street
524,Bontang,ID,76.14,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
526,San Andres,CO,77.02,thunderstorm with light rain,12.5847,-81.7006,Hotel Arena Blanca
530,Hambantota,LK,78.84,overcast clouds,6.1241,81.1185,Bungalow 63
532,Ostrov,RU,78.53,broken clouds,57.3439,28.3537,Ostrov-Park
533,Dingle,PH,75.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
544,Ibimirim,BR,81.84,scattered clouds,-8.5406,-37.6903,Hotel Paulistão
545,Nantucket,US,84.34,few clouds,41.2835,-70.0995,Jared Coffin House
548,Ishigaki,JP,82.53,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
552,La Victoria,VE,82.6,overcast clouds,10.2184,-67.3302,Hotel La Viñeta
553,Mucuri,BR,80.15,scattered clouds,-18.0864,-39.5508,La Bodeguita Pousada
555,Millau,FR,84.33,few clouds,44.0833,2.9167,La Villa Des Raspes
556,Mogadishu,SO,76.17,clear sky,2.0371,45.3438,Hotel Juba
557,Pattani,TH,78.51,overcast clouds,6.75,100.4167,ผักปลอดสารพิษ
562,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
564,Aras,ES,75.61,clear sky,42.5617,-2.356,Jardines de Viana Spa
566,Celano,IT,76.8,broken clouds,42.0855,13.5398,Lory
568,Lasa,IT,77.36,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
569,Namatanai,PG,77.79,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
575,Gueret,FR,78.89,overcast clouds,46.1667,1.8667,Hôtel_ Première Classe Gueret
579,Surt,LY,82.49,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
585,Marsa Matruh,EG,80.01,clear sky,31.3525,27.2453,Beau Site
588,Ninh Binh,VN,77.76,light rain,20.2539,105.975,Kinh Do Hotel
595,Sarangani,PH,82.38,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
610,Odweyne,SO,78.17,broken clouds,9.4092,45.064,Eng Hiirey House
611,Kaspiyskiy,RU,82.76,broken clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
614,Tigzirt,DZ,84.34,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
615,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
619,Hiranagar,IN,80.67,overcast clouds,32.45,75.2667,Bhati nehru
621,Leua,SK,82.35,clear sky,48.2156,18.6071,Business Hotel ASTRUM Laus
623,Wenshang,CN,81.72,clear sky,35.7275,116.4961,Wenshang 1993 Theme Hotel
628,Buluang,PH,76.42,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
633,Chabahar,IR,81.27,few clouds,25.2919,60.643,هتل گدروشیا
634,Goderich,CA,84.52,clear sky,43.7501,-81.7165,Harmony Inn
642,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
650,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
656,Kpandu,GH,78.62,broken clouds,6.9954,0.2931,Emo House
657,Arucas,ES,76.82,few clouds,28.1198,-15.5233,Casa Mama Fela
658,Diphu,IN,77.97,overcast clouds,25.8333,93.4333,Hotel Kamakhya
