City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Saskylakh,RU,2022-08-02 23:07:11,71.9167,114.0833,43.92,77,100,9.17
91,Mahebourg,MU,2022-08-02 23:07:11,-20.4081,57.7,65.25,68,0,9.15
92,Thompson,CA,2022-08-02 23:03:04,55.7435,-97.8558,57.36,94,75,3.44
93,Butaritari,KI,2022-08-02 23:07:11,3.0707,172.7902,82.27,73,96,15.43
94,Maragogi,BR,2022-08-02 23:02:46,-9.0122,-35.2225,75.04,90,86,7.94
95,Ancud,CL,2022-08-02 23:07:12,-41.8697,-73.8203,46.22,88,98,5.23
96,Lata,PT,2022-08-02 23:07:12,40.1629,-8.3327,61.65,95,2,1.81
97,Dikson,RU,2022-08-02 23:07:12,73.5069,80.5464,41.76,91,83,9.57
98,Georgetown,MY,2022-08-02 23:04:09,5.4112,100.3354,78.73,92,20,2.3
99,Kapaa,US,2022-08-02 23:07:12,22.0752,-159.319,84.52,66,20,16.11
100,Gat,IL,2022-08-02 23:07:13,31.61,34.7642,84.4,71,1,3.4
101,Bluff,NZ,2022-08-02 23:02:24,-46.6,168.3333,44.8,77,51,33.93
102,Bengkulu,ID,2022-08-02 23:07:13,-3.8004,102.2655,73.9,91,59,4.27
103,Dom Pedrito,BR,2022-08-02 23:07:13,-30.9828,-54.6731,60.12,94,62,5.77
104,Beringovskiy,RU,2022-08-02 23:07:13,63.05,179.3167,56.98,65,65,3.8
105,Castro,BR,2022-08-02 23:07:14,-24.7911,-50.0119,60.42,63,0,3.42
106,Atuona,PF,2022-08-02 23:05:23,-9.8,-139.0333,77.31,76,9,14.58
107,Bayan,CN,2022-08-02 23:07:14,46.0833,127.4,77.25,87,63,4.0
108,Pevek,RU,2022-08-02 23:07:14,69.7008,170.3133,39.45,100,100,2.35
109,Coquimbo,CL,2022-08-02 23:07:15,-29.9533,-71.3436,53.33,76,100,1.14
110,Poplar Bluff,US,2022-08-02 23:07:15,36.757,-90.3929,91.13,68,0,9.22
111,Hithadhoo,MV,2022-08-02 23:07:15,-0.6,73.0833,79.93,77,68,12.19
112,Nantucket,US,2022-08-02 23:03:10,41.2835,-70.0995,80.71,94,100,9.22
113,Hilo,US,2022-08-02 23:03:39,19.7297,-155.09,82.27,88,100,8.05
114,Yulara,AU,2022-08-02 23:07:16,-25.2406,130.9889,63.03,48,8,7.83
115,Nikolskoye,RU,2022-08-02 23:07:16,59.7035,30.7861,60.87,89,78,4.23
116,Upernavik,GL,2022-08-02 23:07:16,72.7868,-56.1549,45.43,75,87,4.99
117,Touros,BR,2022-08-02 23:07:16,-5.1989,-35.4608,76.14,86,37,7.2
118,Lavrentiya,RU,2022-08-02 23:07:17,65.5833,-171.0,57.52,55,6,12.33
119,Esso,RU,2022-08-02 23:07:17,55.9333,158.7,51.84,92,100,3.36
120,Wanaka,NZ,2022-08-02 23:07:17,-44.7,169.15,43.09,92,13,8.59
121,Vestmannaeyjar,IS,2022-08-02 23:03:13,63.4427,-20.2734,50.47,72,25,22.84
122,Portree,GB,2022-08-02 23:07:18,57.4129,-6.1942,56.52,95,100,19.89
123,Samarai,PG,2022-08-02 23:07:18,-10.6167,150.6667,81.34,83,36,12.33
124,Kavieng,PG,2022-08-02 23:07:18,-2.5744,150.7967,83.75,72,49,15.88
125,Murray Bridge,AU,2022-08-02 23:04:58,-35.1167,139.2667,59.13,65,0,15.08
126,Burnie,AU,2022-08-02 23:07:19,-41.0667,145.9167,56.91,92,97,20.85
127,Port Elizabeth,ZA,2022-08-02 23:07:19,-33.918,25.5701,56.32,78,1,1.99
128,Krasnoselkup,RU,2022-08-02 23:07:19,65.7,82.4667,46.6,84,0,10.31
129,Narsaq,GL,2022-08-02 23:07:19,60.9167,-46.05,55.62,73,52,3.83
130,Daru,PG,2022-08-02 23:07:20,-9.0763,143.2092,79.34,89,53,15.88
131,Tautira,PF,2022-08-02 23:07:20,-17.7333,-149.15,77.04,74,21,21.0
132,Mar Del Plata,AR,2022-08-02 23:03:34,-38.0023,-57.5575,56.08,97,100,10.0
133,Panguna,PG,2022-08-02 23:07:20,-6.3164,155.4848,80.11,62,29,3.36
134,Kurumkan,RU,2022-08-02 23:07:20,54.3,110.3,64.09,88,72,5.41
135,Fleron,BE,2022-08-02 23:07:21,50.6151,5.6814,71.15,68,0,4.61
136,Sambava,MG,2022-08-02 23:08:21,-14.2667,50.1667,68.2,80,40,12.24
137,The Valley,AI,2022-08-02 23:06:41,18.217,-63.0578,84.34,74,20,10.36
138,Campos,BR,2022-08-02 23:06:27,-21.75,-41.3,71.49,85,93,4.83
139,Alofi,NU,2022-08-02 23:08:21,-19.0595,-169.9187,78.69,65,75,18.41
140,Namatanai,PG,2022-08-02 23:08:22,-3.6667,152.4333,83.52,67,27,10.16
141,Santa Cruz,BO,2022-08-02 23:06:03,-17.8,-63.1667,82.45,61,75,11.5
142,Newport,GB,2022-08-02 23:04:58,51.5877,-2.9984,68.83,91,71,14.38
143,Sakakah,SA,2022-08-02 23:08:22,29.9697,40.2064,92.37,17,1,13.71
144,Coahuayana,MX,2022-08-02 23:08:22,18.7333,-103.6833,89.11,62,66,5.28
145,Simpang,ID,2022-08-02 23:08:23,-1.2667,104.0833,73.47,98,100,2.64
146,Boralday,KZ,2022-08-02 23:08:23,43.3578,76.8594,69.66,49,40,6.71
147,Rio Gallegos,AR,2022-08-02 23:08:23,-51.6226,-69.2181,36.32,76,100,3.02
148,Kahului,US,2022-08-02 23:06:59,20.8947,-156.47,87.82,62,40,23.02
149,Tessalit,ML,2022-08-02 23:08:24,20.1986,1.0114,86.65,36,100,19.75
150,Carutapera,BR,2022-08-02 23:08:24,-1.195,-46.02,77.36,84,14,8.16
151,Airai,TL,2022-08-02 23:08:24,-8.9266,125.4092,59.95,50,65,2.01
152,San Carlos,VE,2022-08-02 23:07:57,9.6612,-68.5827,75.16,93,100,2.04
153,Arlit,NE,2022-08-02 23:08:25,18.7369,7.3853,95.04,24,0,7.87
154,Havre-Saint-Pierre,CA,2022-08-02 23:08:25,50.2334,-63.5986,62.96,94,100,9.22
155,Adrar,MR,2022-08-02 23:08:25,20.5022,-10.0711,93.92,33,10,18.75
156,Namibe,AO,2022-08-02 23:08:25,-15.1961,12.1522,58.96,73,10,4.34
157,Katobu,ID,2022-08-02 23:08:26,-4.9408,122.5276,74.44,87,60,3.13
158,Guarda,PT,2022-08-02 23:04:10,40.5373,-7.2658,62.06,53,0,3.11
